Variance,Skewness,Curtosis,Entropy,Class
0.32924,-4.4552,4.5718,-0.9888,0
3.5912,3.0129,0.72888,0.56421,0
1.5356,9.1772,-2.2718,-0.73535,0
3.9899,-2.7066,2.3946,0.86291,0
-1.5768,10.843,2.5462,-2.9362,0
3.404,8.7261,-2.9915,-0.57242,0
2.6719,3.0646,0.37158,0.58619,0
0.80355,2.8473,4.3439,0.6017,0
5.7867,7.8902,-2.6196,-0.48708,0
0.3292,-4.4552,4.5718,-0.9888,0
0.93584,8.8855,-1.6831,-1.6599,0
1.1432,-3.7413,5.5777,-0.63578,0
-0.24811,-0.17797,4.9068,0.15429,0
4.2969,7.617,-2.3874,-0.96164,0
-0.96511,9.4111,1.7305,-4.8629,0
2.6881,6.0195,-0.46641,-0.69268,0
4.5679,3.1929,-2.1055,0.29653,0
3.4805,9.7008,-3.7541,-3.4379,0
4.1711,8.722,-3.0224,-0.59699,0
-0.2062,9.2207,-3.7044,-6.8103,0
-0.0068919,9.2931,-0.41243,-1.9638,0
2.8561,6.9176,-0.79372,0.48403,0
2.0843,6.6258,0.48382,-2.2134,0
3.9102,6.065,-2.4534,-0.68234,0
1.6349,3.286,2.8753,0.087054,0
5.262,3.9834,-1.5572,1.0103,0
3.1452,5.825,-0.51439,-1.4944,0
2.549,6.1499,-1.1605,-1.2371,0
2.5635,6.7769,-0.61979,0.38576,0
3.1377,-4.1096,4.5701,0.98963,0
-0.78289,11.3603,-0.37644,-7.0495,0
2.888,0.44696,4.5907,-0.24398,0
0.49665,5.527,1.7785,-0.47156,0
1.7939,-1.1174,1.5454,-0.26079,0
2.4235,9.5332,-3.0789,-2.7746,0
1.0009,7.7846,-0.28219,-2.6608,0
4.1373,0.49248,1.093,1.8276,0
0.049175,6.1437,1.7828,-0.72113,0
1.1317,3.9647,3.3979,0.84351,0
2.8033,9.0862,-3.3668,-1.0224,0
5.0185,8.5978,-2.9375,-1.281,0
3.245,6.63,-0.63435,0.86937,0
4.0296,2.6756,0.80685,0.71679,0
0.87603,6.8141,0.84198,-0.17156,0
1.4806,7.6377,-2.7876,-1.0341,0
4.0632,3.584,0.72545,0.39481,0
3.2718,1.7837,2.1161,0.61334,0
2.9543,1.076,0.64577,0.89394,0
4.2027,0.22761,0.96108,0.97282,0
3.5438,1.2395,1.997,2.1547,0
3.106,9.5414,-4.2536,-4.003,0
2.9163,10.8306,-3.3437,-4.122,0
1.518,5.6946,0.094818,-0.026738,0
4.2188,6.8162,-1.2804,0.76076,0
1.7819,6.9176,-1.2744,-1.5759,0
2.108,6.7955,-0.1708,0.4905,0
2.8969,0.70768,2.29,1.8663,0
0.9297,-3.7971,4.6429,-0.2957,0
-1.5075,1.9224,7.1466,0.89136,0
-0.91718,9.9884,1.1804,-5.2263,0
3.4663,1.1112,1.7425,1.3388,0
5.1302,8.6703,-2.8913,-1.5086,0
2.0139,6.1416,0.37929,0.56938,0
2.0911,0.94358,4.5512,1.234,0
4.1736,3.3336,-1.4244,0.60429,0
2.7391,7.4018,0.071684,-2.5302,0
5.0691,0.21313,0.20278,1.2095,0
2.486,-0.99533,5.3404,-0.15475,0
5.0452,3.8964,-1.4304,0.86291,0
3.5499,8.6165,-3.2794,-1.2009,0
1.0235,6.901,-2.0062,-2.7125,0
-1.803,11.8818,2.0458,-5.2728,0
0.11739,6.2761,-1.5495,-2.4746,0
0.5706,-0.0248,1.2421,-0.5621,0
4.0552,-2.4583,2.2806,1.0323,0
-1.6952,1.0657,8.8294,0.94955,0
-1.1193,10.7271,2.0938,-5.6504,0
3.6582,5.6864,-1.7157,-0.23751,0
-0.13144,-1.7775,8.3316,0.35214,0
-1.7559,11.9459,3.0946,-4.8978,0
1.4578,-0.08485,4.1785,0.59136,0
4.8272,3.0687,0.68604,0.80731,0
-1.8584,7.886,-1.6643,-1.8384,0
1.9157,6.0816,0.23705,-2.0116,0
-2.0897,10.8265,2.3603,-3.4198,0
0.83292,7.5404,0.65005,-0.92544,0
5.3063,5.2684,-2.8904,-0.52716,0
6.0919,2.9673,-1.3267,1.4551,0
1.3234,3.2964,0.2362,-0.11984,0
-0.16735,7.6274,1.2061,-3.6241,0
2.4196,6.4665,-0.75688,0.228,0
1.0987,0.6394,5.989,-0.58277,0
1.3562,3.2136,4.3465,0.78662,0
0.5706,-0.0248,1.2421,-0.5621,0
-2.6479,10.1374,-1.331,-5.4707,0
-1.3389,1.552,7.0806,1.031,0
0.46901,-0.63321,7.3848,0.36507,0
-1.3274,9.498,2.4408,-5.2689,0
3.9994,0.90427,1.1693,1.6892,0
2.3952,9.5083,-3.1783,-3.0086,0
2.4287,9.3821,-3.2477,-1.4543,0
2.0597,-0.99326,5.2119,-0.29312,0
0.3798,0.7098,0.7572,-0.4444,0
0.57461,10.1105,-1.6917,-4.3922,0
0.5734,9.1938,-0.9094,-1.872,0
4.1425,-3.6792,3.8281,1.6297,0
3.744,0.79459,0.95851,1.0077,0
