Variance,Skewness,Curtosis,Entropy,Class
1.2247,8.7779,-2.2135,-0.80647,0
1.8993,7.6625,0.15394,-3.1108,0
0.3292,-4.4552,4.5718,-0.9888,0
1.4884,3.6274,3.308,0.48921,0
-1.6162,0.80908,8.1628,0.60817,0
2.4391,6.4417,-0.80743,-0.69139,0
2.6881,6.0195,-0.46641,-0.69268,0
-0.0068919,9.2931,-0.41243,-1.9638,0
0.96441,5.8395,2.3235,0.066365,0
2.549,6.1499,-1.1605,-1.2371,0
2.5367,2.599,2.0938,0.20085,0
2.4235,9.5332,-3.0789,-2.7746,0
1.0009,7.7846,-0.28219,-2.6608,0
-1.1313,1.9037,7.5339,1.022,0
-1.8584,7.886,-1.6643,-1.8384,0
2.9163,10.8306,-3.3437,-4.122,0
1.518,5.6946,0.094818,-0.026738,0
3.2351,9.647,-3.2074,-2.5948,0
1.7819,6.9176,-1.2744,-1.5759,0
2.5331,2.9135,-0.822,-0.12243,0
0.9297,-3.7971,4.6429,-0.2957,0
1.7317,-0.34765,4.1905,-0.99138,0
1.7496,-0.1759,5.1827,1.2922,0
2.7391,7.4018,0.071684,-2.5302,0
1.3566,4.2358,2.1341,0.3211,0
1.8799,2.4707,2.4931,0.37671,0
2.3925,9.798,-3.0361,-2.8224,0
-0.11783,-1.5789,8.03,-0.028031,0
1.8314,6.3672,-0.036278,0.049554,0
-0.16735,7.6274,1.2061,-3.6241,0
0.5706,-0.0248,1.2421,-0.5621,0
-1.3389,1.552,7.0806,1.031,0
0.46901,-0.63321,7.3848,0.36507,0
2.0466,2.03,2.1761,-0.083634,0
-1.3931,1.5664,7.5382,0.78403,0
2.7744,6.8576,-1.0671,0.075416,0
1.6472,0.48213,4.7449,1.225,0
0.57461,10.1105,-1.6917,-4.3922,0
-0.016103,9.7484,0.15394,-1.6134,0
0.9297,-3.7971,4.6429,-0.2957,0
1.9265,7.7557,-0.16823,-3.0771,0
0.20977,-0.46146,7.7267,0.90946,0
0.3223,-0.89808,8.0883,0.69222,0
2.5678,3.5136,0.61406,-0.40691,0
2.1464,6.0795,-0.5778,-2.2302,0
0.051979,7.0521,-2.0541,-3.1508,0
0.3292,-4.4552,4.5718,-0.9888,0
2.3729,10.4726,-3.0087,-3.2013,0
1.0284,9.767,-1.3687,-1.7853,0
1.5902,2.2948,3.2403,0.18404,0
1.1811,8.3847,-2.0567,-0.90345,0
0.3292,-4.4552,4.5718,-0.9888,0
0.5195,-3.2633,3.0895,-0.9849,0
1.0607,2.4542,2.5188,-0.17027,0
2.0421,1.2436,4.2171,0.90429,0
1.7452,4.8028,2.0878,0.62627,0
2.1948,1.3781,1.1582,0.85774,0
1.5099,0.039307,6.2332,-0.30346,0
2.3718,7.4908,0.015989,-1.7414,0
0.86736,5.5643,1.6765,-0.16769,0
-0.39816,5.9781,1.3912,-1.1621,0
0.3798,0.7098,0.7572,-0.4444,0
1.1518,1.3864,5.2727,-0.43536,0
-1.1497,1.2954,7.701,0.62627,0
1.9429,6.3961,0.092248,0.58102,0
1.3087,4.9228,2.0013,0.22024,0
1.2138,8.7986,-2.1672,-0.74182,0
0.86816,10.2429,-1.4912,-4.0082,0
2.4527,2.9653,0.20021,-0.056479,0
2.6682,10.216,-3.4414,-4.0069,0
0.64215,3.1287,4.2933,0.64696,0
0.77445,9.0552,-2.4089,-1.3884,0
0.96574,8.393,-1.361,-1.4659,0
0.3798,0.7098,0.7572,-0.4444,0
0.0071249,8.3661,0.50781,-3.8155,0
0.96788,7.1907,1.2798,-2.4565,0
1.2999,2.5762,2.0107,-0.18967,0
2.565,8.633,-2.9941,-1.3082,0
2.6648,10.754,-3.3994,-4.1685,0
2.0153,1.8479,3.1375,0.42843,0
0.33111,4.5731,2.057,-0.18967,0
1.2746,8.8172,-1.5323,-1.7957,0
2.2091,7.4556,-1.3284,-3.3021,0
0.72252,-0.053811,5.6703,-1.3509,0
2.8232,10.8513,-3.1466,-3.9784,0
1.4507,8.7903,-2.2324,-0.65259,0
1.5673,7.9274,-0.056842,-2.1694,0
1.5701,7.9129,0.29018,-2.1953,0
0.32444,10.067,-1.1982,-4.1284,0
1.5456,8.5482,0.4187,-2.1784,0
1.4276,8.3847,-2.0995,-1.9677,0
0.93611,8.6413,-1.6351,-1.3043,0
-2.7914,1.7734,6.7756,-0.39915,0
0.65497,5.1815,1.0673,-0.42113,0
-0.278,8.1881,-3.1338,-2.5276,0
1.8384,6.063,0.54723,0.51248,0
0.94225,5.8561,1.8762,-0.32544,0
0.38251,6.8121,1.8128,-0.61251,0
2.9233,6.0464,-0.11168,-0.58665,0
1.162,10.2926,-1.2821,-4.0392,0
-0.38388,-1.0471,8.0514,0.49567,0
2.1881,2.7356,1.3278,-0.1832,0
2.9736,8.7944,-3.6359,-1.3754,0
0.77805,6.6424,-1.1425,-1.0573,0
-0.53966,7.3273,0.46583,-1.4543,0
0.5706,-0.0248,1.2421,-0.5621,0
1.3114,4.5462,2.2935,0.22541,0
0.5195,-3.2633,3.0895,-0.9849,0
2.9856,7.2673,-0.409,-2.2431,0
1.7748,-0.76978,5.5854,1.3039,0
0.74841,7.2756,1.1504,-0.5388,0
0.37984,0.70975,0.75716,-0.44441,0
2.8672,10.0008,-3.2049,-3.1095,0
0.92703,9.4318,-0.66263,-1.6728,0
0.66191,9.6594,-0.28819,-1.6638,0
0.75736,3.0294,2.9164,-0.068117,0
0.38478,6.5989,-0.3336,-0.56466,0
2.2504,3.5757,0.35273,0.2836,0
-1.7582,2.7397,-2.5323,-2.234,0
-2.2811,-0.85669,2.7185,0.044382,0
-0.70346,2.957,-3.5947,-3.1457,0
1.3451,0.23589,-1.8785,1.3258,0
-2.121,-0.05588,1.949,1.353,0
-2.2214,-0.23798,0.56008,0.05602,0
-0.28696,3.1784,-3.5767,-3.1896,0
-0.014902,-1.0243,-0.94024,0.64955,0
-2.3147,3.6668,-0.6969,-1.2474,0
-1.2786,-2.4087,4.5735,0.47627,0
-1.0555,0.79459,-1.6968,-0.46768,0
-2.4198,-0.24418,0.70146,0.41809,0
-1.3995,-1.9162,2.5154,0.59912,0
-2.1241,-6.8969,5.5992,-0.47156,0
0.2346,-4.5152,2.1195,1.4448,0
-1.4628,-1.5706,2.4357,0.49826,0
-0.87834,3.257,-3.6778,-3.2944,0
-0.59587,2.4811,-2.8673,-0.89828,0
-2.0441,1.2271,0.18564,-1.091,0
-2.286,-5.4484,5.8039,0.88231,0
-0.49081,2.8452,-3.6436,-3.1004,0
-2.565,-5.7899,6.0122,0.046968,0
-2.0962,-7.1059,6.6188,-0.33708,0
1.4378,0.66837,-2.0267,1.0271,0
-0.8734,1.6533,-2.1964,-0.78061,0
-1.5877,-6.6072,5.8022,0.31593,0
0.66365,-0.045533,-0.18794,0.23447,0
-1.9983,-6.6072,4.8254,-0.41984,0
-2.2173,1.4671,-0.72689,-1.1724,0
-0.91318,-2.0113,-0.19565,0.066365,0
-1.6001,-9.5828,9.4044,0.081882,0
-0.77461,-1.8768,2.4023,1.1319,0
2.0177,1.7982,-2.9581,0.2099,0
1.5904,2.2121,-3.1183,-0.11725,0
-0.51003,-0.23591,0.020273,0.76334,0
-0.49948,1.7734,-2.2469,-0.68104,0
0.26517,2.4066,-2.8416,-0.59958,0
-1.9881,0.99945,-0.28562,-0.70044,0
-2.0529,3.8385,-0.79544,-1.2138,0
-0.94255,0.039307,-0.24192,0.31593,0
-0.24037,-1.7837,2.135,1.2418,0
-1.5951,-6.572,4.7689,-0.94354,0
-2.2183,-1.254,2.9986,0.36378,0
-2.3675,-0.43663,1.692,-0.43018,0
-2.659,-1.6058,1.3647,0.16464,0
-0.55008,2.8659,-1.6488,-2.4319,0
1.3518,1.0595,-2.3437,0.39998,0
-2.2625,-0.099335,2.8127,0.48662,0
0.21431,-0.69529,0.87711,0.29653,0
0.50225,0.65388,-1.1793,0.39998,0
-0.83121,0.039307,0.05369,-0.23105,0
-0.83535,0.80494,-1.6411,-0.19225,0
-1.4106,-7.108,5.6454,0.31335,0
-0.9854,-6.661,5.8245,0.5461,0
-0.40857,3.0977,-2.9607,-2.6892,0
-1.8629,-0.84841,2.5377,0.097399,0
-0.49241,0.89392,-1.6283,-0.56854,0
0.6005,0.99945,-2.2126,0.097399,0
-1.1859,-1.2519,2.2635,0.77239,0
-0.75793,2.5349,-3.0464,-1.2629,0
0.4283,-0.94981,-1.0731,0.3211,0
0.59823,3.5012,-3.9795,-1.7841,0
-0.77995,3.2322,-3.282,-3.1004,0
-2.7908,-5.7133,5.953,0.45946,0
-0.82053,0.65181,-0.48869,-0.52716,0
-1.7976,-6.7686,6.6753,0.89912,0
-2.5919,-1.0553,3.8949,0.77757,0
-0.41645,0.32487,-0.33617,-0.36036,0
0.50813,0.47799,-1.9804,0.57714,0
-0.69745,-1.7672,-0.34474,-0.12372,0
-1.3907,-1.3781,2.3055,-0.021566,0
-2.4725,-0.40145,1.4855,1.1189,0
-1.239,-6.541,4.8151,-0.033204,0
-1.8046,-6.8141,6.7019,1.1681,0
-0.95403,1.9824,-2.3163,-1.1957,0
-0.98193,2.7956,-1.2341,-1.5668,0
-1.4377,-1.432,2.1144,0.42067,0
-0.0012852,0.13863,-0.19651,0.0081754,0
-0.89542,2.0279,-2.3652,-1.2746,0
-2.456,-0.24418,1.4041,-0.45863,0
0.3434,0.12415,-0.28733,0.14654,0
0.75896,0.29176,-1.6506,0.83834,0
-0.93587,-5.1008,4.5367,1.3866,0
-2.5724,-0.95602,2.7073,-0.16639,0
-1.682,-6.8121,7.1398,1.3323,0
-0.95923,-6.7128,4.9857,0.32886,0
-1.8215,2.7521,-0.72261,-2.353,0
0.11592,3.2219,-3.4302,-2.8457,0
-1.366,0.18416,0.90539,1.5806,0
-0.9607,2.6963,-3.1226,-1.3121,0
-1.522,-6.6383,5.7491,-0.10691,0
-2.1668,1.5933,0.045122,-1.678,0
-2.2617,-4.7428,6.3489,0.11162,0
-1.2568,-1.4733,2.8718,0.44653,0
-2.9915,-6.6258,8.6521,1.8198,0
1.4501,3.6067,-4.0557,-1.5966,0
-2.0891,-0.48422,1.704,1.7435,0
1.0552,1.1857,-2.6411,0.11033,0
-1.7697,3.4329,-1.2144,-2.3789,0
-2.5084,-0.22763,1.488,1.2069,0
-0.55648,3.2136,-3.3085,-2.7965,0
-0.3481,-0.38696,-0.47841,0.62627,0
-1.6662,-0.30005,1.4238,0.024986,0
-1.9389,1.5706,0.045979,-1.122,0
-2.0046,-0.49457,1.333,1.6543,0
-1.9551,-6.9756,5.5383,-0.12889,0
-1.4375,-1.8624,4.026,0.55127,0
-2.9498,-8.273,10.2646,1.1629,0
-0.52645,-0.24832,-0.45613,0.41938,0
-1.5078,-7.3191,7.8981,1.2289,0
-2.0631,-1.5147,1.219,0.44524,0
1.7875,4.78,-5.1362,-3.2362,0
-1.4174,-2.2535,1.518,0.61981,0
1.4896,3.4288,-4.0309,-1.4259,0
0.55298,-3.4619,1.7048,1.1008,0
-0.27068,3.2674,-3.5562,-3.0888,0
1.5514,3.8013,-4.9143,-3.7483,0
-2.3797,-1.4402,1.1273,0.16076,0
-0.47465,-4.3496,1.9901,0.7517,0
-2.4561,-4.5566,6.4534,-0.056479,0
-0.17296,-1.1816,1.3818,0.7336,0
-2.0659,1.0512,-0.46298,-1.0974,0
2.994,7.2011,-1.2153,0.3211,1
3.4092,5.4049,-2.5228,-0.89958,1
0.3292,-4.4552,4.5718,-0.9888,1
3.0329,2.2948,2.1135,0.35084,1
2.2526,9.9636,-3.1749,-2.9944,1
2.8033,9.0862,-3.3668,-1.0224,1
3.2422,6.2265,0.12224,-1.4466,1
0.39559,6.8866,1.0588,-0.67587,1
2.7213,7.05,-0.58808,0.41809,1
2.7296,2.8701,0.51124,0.5099,1
2.5635,6.7769,-0.61979,0.38576,1
-1.7344,2.0175,7.7618,0.93532,1
1.3264,1.0326,5.6566,-0.41337,1
-1.1391,1.8127,6.9144,0.70127,1
2.6718,5.6574,0.72974,-1.4892,1
1.934,-9.2828e-06,4.816,-0.33967,1
0.64295,7.1018,0.3493,-0.41337,1
2.5605,9.2683,-3.5913,-1.356,1
1.3754,8.8793,-1.9136,-0.53751,1
0.3798,0.7098,0.7572,-0.4444,1
1.0652,8.3682,-1.4004,-1.6509,1
3.359,9.8022,-3.8209,-3.7133,1
2.1059,7.6046,-0.47755,-1.8461,1
1.6849,8.7489,-1.2641,-1.3858,1
0.24835,7.6439,0.9885,-0.87371,1
1.2706,8.035,-0.19651,-2.1888,1
1.3349,6.1189,0.46497,0.49826,1
2.6562,10.7044,-3.3085,-4.0767,1
3.106,9.5414,-4.2536,-4.003,1
2.4196,6.4665,-0.75688,0.228,1
-0.45062,-1.3678,7.0858,-0.40303,1
2.4008,9.3593,-3.3565,-3.3526,1
-0.2951,9.0489,-0.52725,-2.0789,1
1.9647,6.9383,0.57722,0.66377,1
1.9105,8.871,-2.3386,-0.75604,1
1.5478,9.1814,-1.6326,-1.7375,1
2.108,6.7955,-0.1708,0.4905,1
2.486,-0.99533,5.3404,-0.15475,1
1.8533,6.1458,1.0176,-2.0401,1
0.33565,6.8369,0.69718,-0.55691,1
2.3952,9.5083,-3.1783,-3.0086,1
0.80355,2.8473,4.3439,0.6017,1
0.74054,0.36625,2.1992,0.48403,1
2.4287,9.3821,-3.2477,-1.4543,1
2.6104,8.0081,-0.23592,-1.7608,1
2.0597,-0.99326,5.2119,-0.29312,1
3.4805,9.7008,-3.7541,-3.4379,1
2.8523,9.0096,-3.761,-3.3371,1
0.49571,10.2243,-1.097,-4.0159,1
1.941,0.46351,4.6472,1.0879,1
2.6917,10.8161,-3.3,-4.2888,1
2.1265,6.8783,0.44784,-2.2224,1
0.87603,6.8141,0.84198,-0.17156,1
2.0165,-0.25246,5.1707,1.0763,1
0.89566,7.7763,-2.7473,-1.9353,1
-0.33729,-0.64976,7.6659,0.72326,1
1.0191,2.33,4.9334,0.82929,1
0.4339,5.5395,2.033,-0.40432,1
1.4578,-0.08485,4.1785,0.59136,1
2.6799,3.1349,0.34073,0.58489,1
-0.11996,6.8741,0.91995,-0.6694,1
2.5817,9.7546,-3.1749,-2.9957,1
1.1317,3.9647,3.3979,0.84351,1
2.483,6.6155,-0.79287,-0.90863,1
0.49665,5.527,1.7785,-0.47156,1
-0.278,8.1881,-3.1338,-2.5276,1
1.8592,3.2074,-0.15966,-0.26208,1
0.44125,2.9487,4.3225,0.7155,1
1.3562,3.2136,4.3465,0.78662,1
0.049175,6.1437,1.7828,-0.72113,1
-0.10648,-0.76771,7.7575,0.64179,1
0.9297,-3.7971,4.6429,-0.2957,1
2.3969,0.23589,4.8477,1.437,1
2.3136,10.6651,-3.5288,-4.7672,1
3.534,9.3614,-3.6316,-1.2461,1
1.1588,8.9331,-2.0807,-1.1272,1
2.7206,9.0821,-3.3111,-0.96811,1
1.4806,7.6377,-2.7876,-1.0341,1
0.89606,10.5471,-1.4175,-4.0327,1
0.76163,5.8209,1.1959,-0.64613,1
2.6415,7.586,-0.28562,-1.6677,1
2.2546,8.0992,-0.24877,-3.2698,1
2.0962,2.4769,1.9379,-0.040962,1
-0.36279,8.2895,-1.9213,-3.3332,1
0.29961,7.1328,-0.31475,-1.1828,1
2.0193,0.82356,4.6369,1.4202,1
2.8237,2.8597,0.19678,0.57196,1
0.95626,2.4728,4.4578,0.21636,1
2.7961,2.121,1.8385,0.38317,1
0.93584,8.8855,-1.6831,-1.6599,1
1.6406,3.5488,1.3964,-0.36424,1
1.105,7.4432,0.41099,-3.0332,1
1.0135,8.4551,-1.672,-2.0815,1
2.614,8.0081,-3.7258,-1.3069,1
-0.048008,-0.56078,7.7215,0.453,1
0.86202,2.6963,4.2908,0.54739,1
1.5691,6.3465,-0.1828,-2.4099,1
-0.36038,4.1158,3.1143,-0.37199,1
1.0987,0.6394,5.989,-0.58277,1
3.404,8.7261,-2.9915,-0.57242,1
2.6719,3.0646,0.37158,0.58619,1
-0.062025,6.1975,1.099,-1.131,1
1.1676,9.1566,-2.0867,-0.80647,1
2.7659,0.66216,4.1494,-0.28406,1
1.9818,9.2621,-3.521,-1.872,1
3.2294,7.7391,-0.37816,-2.5405,1
1.762,4.3682,2.1384,0.75429,1
3.6894,9.887,-4.0788,-4.3664,1
-0.24811,-0.17797,4.9068,0.15429,1
0.5195,-3.2633,3.0895,-0.9849,1
-0.13144,-1.7775,8.3316,0.35214,1
2.0007,1.8644,2.6491,0.47369,1
2.0139,6.1416,0.37929,0.56938,1
2.229,9.6325,-3.1123,-2.7164,1
2.7831,10.9796,-3.557,-4.4039,1
1.3234,3.2964,0.2362,-0.11984,1
2.1752,-0.8091,5.1022,-0.67975,1
0.17346,7.8695,0.26876,-3.7883,1
0.51947,-3.2633,3.0895,-0.98492,1
3.3583,10.3567,-3.7301,-3.6991,1
1.8114,7.6067,-0.9788,-2.4668,1
-0.16682,5.8974,0.49839,-0.70044,1
0.5195,-3.2633,3.0895,-0.9849,1
3.0948,8.7324,-2.9007,-0.96682,1
1.6988,2.9094,2.9044,0.11033,1
0.39012,-0.14279,-0.031994,0.35084,1
-1.5252,-6.2534,5.3524,0.59912,1
-0.36506,2.8928,-3.6461,-3.0603,1
0.47368,3.3605,-4.5064,-4.0431,1
-1.6244,-6.3444,4.6575,0.16981,1
0.6005,1.9327,-3.2888,-0.32415,1
-0.28015,3.0729,-3.3857,-2.9155,1
-1.7015,-0.010356,-0.99337,-0.53104,1
